"Gene","ProbeId","EntrezId"
"ARHGAP24",4290243,83478
"ALS2",2140156,57679
"GAS6",4280632,2621
"UCHL5",2750746,51377
"CREBL1",3940348,1388
"LOC100134719",670328,100134719
"HS.565035",3930524,NA
"HS.543842",6590047,NA
"IRAK3",2360719,11213
"HS.489952",4490468,NA
"PMEPA1",3830041,56937
"RAP2B",1980463,5912
"UBQLN3",6840079,50613
"ZNF836",7050646,162962
"RBMS1",4150639,5937
"BRMS1L",3140039,84312
"LOC729839",1940600,729839
"PRKACB",5670156,5567
"ACTR3B",4010066,57180
"ADAMTSL4",780678,54507
"GPR4",6580634,2828
"LOC645401",1400414,645401
"FECH",7200315,2235
"MIR26B",4060356,407017
"RIMKLB",1940056,57494
"LOC728012",4640593,728012
"PIGH",1580544,5283
"CNBP",2630070,7555
"KCNK9",4040309,51305
"RPS6",6270546,6194
"KCNIP3",4640360,30818
"LOC390660",6480414,390660
"MBD5",7560368,55777
"HS.520750",5260373,NA
"TOB1",4390300,10140
"EPS8L2",130221,64787
"KIAA1429",4560577,25962
"DHRSX",5270762,207063
"LOC100133672",6590671,100133672
"WNK3",2190431,65267
"HS.537594",3890576,NA
"LOC441253",6520521,441253
"KCNQ1OT1",7380392,10984
"ZSCAN21",940576,7589
"WTAP",1850100,9589
"HS.566225",1440167,NA
"ZNF625",7570193,90589
"LOC133993",3420709,133993
"FAIM",6110575,55179
"MMP11",2370632,4320
"LOC730036",4760561,730036
"SYCP3",7570632,50511
"LOC285501",4390437,285501
"RRP7A",3130598,27341
"TCEA1",110427,6917
"CETN3",1300709,1070
"MAST4",4260309,375449
"PPP2R2B",6020523,5521
"LOC650677",5810066,650677
"TMEM147",2600324,10430
"URB2",1580433,9816
"GMEB1",380468,10691
"ENTPD8",6940068,377841
"TMEM194",1110494,23306
"USP9X",4570411,8239
"LOC286512",770187,286512
"HS.575784",4860397,NA
"LOC732150",990408,732150
"CFL1",4250458,1072
"GPR15",4540538,2838
"MFAP3",2710307,4238
"CUL1",70601,8454
"LOC375295",6940059,375295
"SNORA32",5890477,692063
"AFG3L1",60609,172
"NLK",6200242,51701
"GLIS3",6560017,169792
"ZNF318",50193,24149
"FRYL",6480743,285527
"GNG2",2190020,54331
"DHTKD1",6250075,55526
"ZC3H5",7400669,85451
"KCNK6",3870041,9424
"EIF2C3",6380601,192669
"LOC652388",5690068,652388
"SNAI2",50255,6591
"TNRC6B",2760768,23112
"DNM2",6580731,1785
"FLJ40330",7610431,645784
"LOC654109",2680296,654109
"RAB11FIP2",4860180,22841
"LOC389072",4040598,389072
"ITPK1",6110731,3705
"FAM129B",3180053,64855
"PRIM1",2140273,5557
"LOC100129343",360360,100129343
"WDR91",7150367,29062
"DDR1",7560338,780
"KLHL7",150672,55975
"YIPF1",20164,54432
"SNRNP200",3830537,23020
"SRP9",520209,6726
"C14ORF43",6370201,91748
"MID2",450326,11043
"BUB3",6350348,9184
"ASAH1",5420332,427
"EIF4H",4540397,7458
"ST6GALNAC4",10379,27090
"RBP7",3850112,116362
"LOC100134461",380647,100134461
"SERTAD4",6330504,56256
"HS.560459",5700246,NA
"LOC221442",2000553,221442
"TEC",5220242,7006
"ACSL5",2320332,51703
"RTN4",6770189,57142
"CTAGE6",7100563,340307
"POSTN",1050747,10631
"HS.544430",1690136,NA
"L3MBTL4",730433,91133
"NUBP2",6960730,10101
"APLF",7550673,200558
"TNRC6A",130386,27327
"RGS17",5130154,26575
"HS.536664",6060601,NA
"SCARNA9",6220112,619383
"HS.570988",4010100,NA
"MANBAL",1570110,63905
"ALG12",6940735,79087
"ZNF703",1470615,80139
"FTSJ3",4210600,117246
"LOC493869",5720438,493869
"PDE8A",5270228,5151
"BCKDK",5220347,10295
"BCAP29",6250564,55973
"LOC654088",460709,654088
"PCGF1",5260386,84759
"UTP20",1470360,27340
"HS.334066",6270152,NA
"ZFAND2B",60403,130617
"LOC440917",5690288,440917
"KARS",5340291,3735
"RPAP3",2000392,79657
"TIPARP",6760546,25976
"LOC100131794",4880722,100131794
"ST6GALNAC3",2070100,256435
"PELI2",3840491,57161
"C6ORF114",7400280,85411
"LOC650263",730563,650263
"MLL4",4060608,9757
"NRSN2",1940368,80023
"LOC100134550",1570452,100134550
"HS.580199",3440273,NA
"HS.121167",6200445,NA
"SNORA30",4560138,677813
"ACOX2",1010114,8309
"GPR97",5960246,222487
"NUP155",6060685,9631
"CLEC5A",1260228,23601
"LOC100129095",4480131,100129095
"PDXDC1",4590725,23042
"IL17RD",4060017,54756
"LOC284688",1240465,284688
"LOC653877",5960593,653877
"LOC648803",2030372,648803
"HDGF2",6840373,84717
"LOC100129936",290553,100129936
"HS.337087",2350692,NA
"ZFP36",2900348,7538
"RWDD3",4280689,25950
"TBC1D19",20475,55296
"NT5C3",3940520,51251
"LOC283487",3520037,283487
"KIF5A",6650243,3798
"CYP20A1",6100646,57404
"C14ORF104",2490408,55172
"LOC392501",6220048,392501
"LOC653506",2030132,653506
"TROVE2",360259,6738
"LOC646900",3460162,646900
"SLITRK4",7330477,139065
"LOC643121",5910348,643121
"CD300A",4780196,11314
"ITIH4",3710343,3700
"SNORD6",290220,692075
"RNF38",4070044,152006
"STEAP3",1470097,55240
"ANKHD1",6380100,54882
"ZNF585B",1410136,92285
"CSNK2A2",6110187,1459
"SLC35E1",2900307,79939
"SRRM1L",3800747,401475
"ROR1",4060626,4919
"HIP1R",2450670,9026
"HOMER1",5290050,9456
"LOC440350",5090164,440350
"PC",5490196,5091
"C15ORF34",5890181,80072
"LOC100127988",6620091,100127988
"HS.565678",4040064,NA
"LOC650243",940142,650243
"DHX35",20192,60625
"LOC650217",6660746,650217
"CHN2",830687,1124
"LOC401233",4570451,401233
"RPS7",2690608,6201
"CGB1",6840609,114335
"HIRA",5420431,7290
"SLC25A26",2490053,115286
"HSPE1",110110,3336
"RCC2",1340360,55920
"HIAT1",1850544,64645
"TM9SF3",2030270,56889
"TMEM93",3990600,83460
"LOC100128090",1400470,100128090
"ASB3",5720458,51130
"TAAR1",2850593,134864
"LYAR",6220148,55646
"HS.481659",4730154,NA
"MIR939",5390142,100126351
"RAB26",2600240,25837
"RRBP1",4540327,6238
"KLF4",510044,9314
"SGEF",2480091,26084
"COL11A1",5560739,1301
"HS.150800",3850035,NA
"RBM35A",110754,54845
"ACADSB",3610136,36
"VAMP4",3870520,8674
"GOLGA8G",4590546,283768
"NFX1",3390731,4799
"SKI",2140164,6497
"LOC648294",6550022,648294
"DERL1",2370129,79139
"FLJ44124",4860196,641737
"FDPSL2A",2650575,619190
"NARG2",2480731,79664
"FAM177A1",4260561,283635
"LILRA2",3370594,11027
"LOC388532",2900470,388532
"ENPP2",840678,5168
"MED18",1500347,54797
"ZNF107",3460367,51427
"TAOK3",3780113,51347
"TCTN2",7650196,79867
"AHR",6060367,196
"HS.564967",2470289,NA
"ABCD4",7200102,5826
"WDR33",1030201,55339
"MBD2",6840487,8932
"NTF3",2940441,4908
"ARMCX3",2320647,51566
"SFI1",4640367,9814
"CIAO1",2690022,9391
"RPTOR",6400349,57521
"SMOX",3710553,54498
"TADA3",7210162,10474
"NSF",1410484,4905
"BCCIP",990598,56647
"HS.543663",3940706,NA
"LOC642812",5670326,642812
"GRK6",5700519,2870
"RIOK1",5390056,83732
"TLK1",6770647,9874
"SPRY4",730576,81848
"CDC5L",6760189,988
"SLC7A4",1570047,6545
"LOC730432",2690300,730432
"GPR19",6200072,2842
"ADAP2",3990433,55803
"UBE2K",6220021,3093
"ST14",4260278,6768
"ELL3",2000102,80237
"KCNIP3",6940463,30818
"CHST5",2630114,23563
"CCDC134",2640132,79879
"LOC391045",430019,391045
"CTAGE4",3990730,340311
"UNC45A",6380241,55898
"MRP63",7550452,78988
"LOC646808",4210392,646808
"LOC727958",3870367,727958
"RAB13",4390487,5872
"TMBIM6",650519,7009
"SLC39A11",2470609,201266
"TERC",3420678,7012
"DNTTIP1",2100678,116092
"ISG15",2100196,9636
"HS.540598",6450209,NA
"FGD3",5270619,89846
"SMCP",940682,4184
"LOC649209",4640148,649209
"HS.117299",6110121,NA
"TMEM14E",2140437,645843
"OR8K5",6290538,219453
"EPOR",3310242,2057
"LOC644131",5820202,644131
"DYRK2",6560523,8445
"ACPP",2680725,55
"ARMCX6",4490215,54470
"TTLL4",3890189,9654
"MLX",2570768,6945
"CDC2L2",5690152,985
"HS.128463",6980224,NA
"BAZ2B",450075,29994
"PEX5",6650189,5830
"PNPT1",4220551,87178
"HS.156892",2900309,NA
"NRK",3130471,203447
"LOC729492",7000347,729492
"EID2",1430475,163126
"LOC728693",50615,728693
"FCRL3",70754,115352
"LOC644928",4480356,644928
"GNG5",10170,2787
"LOC100133233",770689,100133233
"LOC100131336",1850050,100131336
"GSTP1",830047,2950
"ATRN",6520243,8455
"BEX1",6480468,55859
"TRIM21",6560075,6737
"PHRF1",1340047,57661
"SYF2",1740110,25949
"C17ORF56",4230356,146705
"DEFB1",4920040,1672
"GP2",1740630,2813
"HS.540255",7650465,NA
"GLO1",6770619,2739
"SCFD2",7570332,152579
"YPEL3",130750,83719
"LOC641944",6550523,641944
"SEC23B",6370133,10483
"IRF8",150072,3394
"LOC390183",4730368,390183
"C6ORF106",7320110,64771
"CCDC6",7330435,8030
"SDHAP3",1400524,728609
"VAMP5",2630195,10791
"MET",4200504,4233
"LOC401002",3180670,401002
"CD14",6370369,929
"CDS2",510673,8760
"HS.120863",830021,NA
"LOC732075",7000424,732075
"OSBPL5",2190689,114879
"NFX1",3400279,4799
"SCEL",1470731,8796
"HS.280461",2600195,NA
"TRIM73",4780577,375593
"SF3B14",2000500,51639
"MED28",6980010,80306
"PDCD5",1240685,9141
"PIK3R4",3800521,30849
"LOC652905",2190592,652905
"IL13",2320017,3596
"TBC1D9",1400070,23158
"LOC653604",4570725,653604
"RLBP1",5910437,6017
"RFX5",2650370,5993
"MUT",5890703,4594
"C16ORF50",4490041,84229
"HYOU1",520189,10525
"ZMIZ2",630711,83637
"RAB8B",1740497,51762
"HS.543803",6110491,NA
"CP110",5260082,9738
"EML4",110139,27436
"FRG1",2470519,2483
"MRPL27",2060612,51264
"SSBP3",4120671,23648
"RNPEPL1",4230445,57140
"LPCAT3",2370291,10162
"LOC100132648",2490431,100132648
"TDRD1",7150184,56165
"FLRT3",2350487,23767
"RPS27L",2760047,51065
"ADAMTSL2",4810575,9719
"FAM108C1",4150519,58489
"HS.137971",6020692,NA
"LOC730004",2710021,730004
"C9ORF16",1170019,79095
"PLEKHM1",7550437,9842
"MIR548K",5570717,100313770
"LYPLA2P1",4250240,653639
"SCCPDH",5820187,51097
"FLJ44385",430537,400934
"KCNS2",360647,3788
"LMBRD1",2510592,55788
"RIPK5",2850661,25778
"KLHDC2",2810364,23588
"PSMC1",3060487,5700
"ADORA1",4060519,134
"CENPM",1450192,79019
"PCNXL3",580273,399909
"MFSD1",510288,64747
"EIF1B",6060414,10289
"MAGT1",3190626,84061
"HOXA5",6620437,3202
"LOC653352",160520,653352
"UEVLD",2070332,55293
"MGAT2",6550131,4247
"SCN3A",4260102,6328
"FAM84A",6350291,151354
"WDR70",5960451,55100
"ABCC6P2",1340162,730013
"LOC653333",1190132,653333
"SMO",2810390,6608
"LOC728650",6200228,728650
"ANP32B",3850053,10541
"TAS2R4",1470114,50832
"CD79B",6450594,974
"DMTF1",2850064,9988
"FNDC3B",4250736,64778
"CCDC106",3940471,29903
"EXT1",4220431,2131
"P4HA2",7570379,8974
"TCEA2",5290577,6919
"LIX1",6650070,167410
"RPS6P1",2970056,440086
"HS.559814",5260689,NA
"HS.519532",7570136,NA
"LOC100131452",3930463,100131452
"HS.287137",780706,NA
"HS.582550",4290220,NA
"C11ORF86",5960563,254439
"IL4R",540025,3566
"STAMBPL1",7150059,57559
"ANKIB1",2970672,54467
"LOC90499",520685,90499
"LOC442124",3400154,442124
"HS.576825",2680201,NA
"GPER",3120647,2852
"LOC641922",6380594,641922
"LOC200030",4780279,200030
"HDAC3",2060452,8841
"MORG1",1190609,84292
"TRIM17",770056,51127
"TRIM58",5890138,25893
"FSBP",6660326,10646
"GOLGA2",4040292,2801
"RTTN",6400632,25914
"LOC648623",5050639,648623
"HSD17B8",5700056,7923
"AGA",130064,175
"DGCR6L",5420014,85359
"BDH1",2490437,622
"FBXW7",1850504,55294
"KIAA1524",6280719,57650
"MAGEE1",4760653,57692
"CMTM3",6020746,123920
"NBPF10",4050152,440673
"LOC728774",3610152,728774
"FLJ36848",6560392,647115
"GNA12",7150465,2768
"LOC100132457",5080600,100132457
"HS.571946",3870296,NA
"CLPTM1L",1050750,81037
"GGTLC1",4490201,92086
"PRCC",1430243,5546
"PTPN6",2260482,5777
"C11ORF71",1230543,54494
"HS.544140",3140600,NA
"BAMBI",430050,25805
"LOC646547",2710433,646547
"GPR172A",2140528,79581
"PCDH20",5900376,64881
"TATDN2",2690753,9797
"CLEC14A",3310747,161198
"FLJ20581",4250139,54988
"TIGD3",70132,220359
"LOC440595",3990672,440595
"DMBT1",6220209,1755
"HS.542413",4220288,NA
"ARRDC1",4850646,92714
"ZWINT",3800474,11130
"UTP14A",3360377,10813
"RNF138",870563,51444
"ALOX15",1230722,246
"TMC5",2140601,79838
"PTH1R",940646,5745
"MEIS1",4040753,4211
"HS.575085",1430255,NA
"P2RY6",60521,5031
"GABRG3",2000487,2567
"ZNF137",2070152,7696
"TRIOBP",2900246,11078
"DEAF1",5220707,10522
"HAUS8",1400358,93323
"SLC25A45",5090452,283130
"TDP1",2060110,55775
"RANBP3",1500195,8498
"VGF",2850619,7425
"RGS5",160445,8490
"SOSTDC1",4810273,25928
"COQ2",5720128,27235
"FMO3",5220379,2328
"GDF11",5310521,10220
"SNORD32B",5810056,692092
"LOC730658",7380224,730658
"CEP72",1030368,55722
"NRBF2",5290592,29982
"KRT6A",3830681,3853
"STAP2",5310132,55620
"SSX2",6620364,6757
"MYO1C",3710605,4641
"DNAJC12",5720465,56521
"TMEM203",5910338,94107
"SATB2",1980682,23314
"EIF1AX",3930296,1964
"IER3IP1",6860681,51124
"C22ORF27",50164,150291
"LOC100128510",5670431,100128510
"LOC729010",2100458,729010
"LOC653146",2900113,653146
"GNA12",4070259,2768
"RHOD",4180270,29984
"C19ORF16",7000296,284418
"FLJ36070",4640328,284358
"LBA1",150400,9881
"GNAI3",6060592,2773
"PCSK6",6060255,5046
"HS.120187",3940228,NA
"CDC123",6100301,8872
"NUPL1",5290537,9818
"GSDMB",6040598,55876
"NDUFAF1",6180598,51103
"PHACS",4860070,84680
"ACP5",7050082,54
"LOC646769",670441,646769
"LOC729399",160161,729399
"NPFFR2",4260128,10886
"PMAIP1",6020598,5366
"HS6ST1",150192,9394
"HS.527174",3870368,NA
"RAB10",5860279,10890
"ERCC-00130",4010240,NA
"WDR13",2190364,64743
"CCL3L1",4250053,6349
"DLEU1",5490053,10301
"USP36",7160612,57602
"HS.31532",2060014,NA
"ERO1LB",5690112,56605
"NEBL",380561,10529
"PARL",3390289,55486
"ESM1",3420605,11082
"ACADVL",1240551,37
"LOC647474",3930079,647474
"CRABP2",3400296,1382
"HS.561365",2490025,NA
"METTL11A",7650379,28989
"MYBPC3",6940768,4607
"SEPP1",4280678,6414
"ZNF788",5810682,388507
"EPS8",6650241,2059
"LOC644907",7150689,644907
"LOC100130716",460500,100130716
"SNX29",1660047,92017
"EBF1",1110592,1879
"HS.444785",160152,NA
"SQRDL",6770707,58472
"HDLBP",4480246,3069
"LMO3",3060437,55885
"NAGK",3450326,55577
"PLA2G4B",2350722,8681
"RAX2",1980075,84839
"PSEN1",5700538,5663
"SLC22A18AS",2340441,5003
"LOC642370",2850253,642370
"ACADVL",610093,37
"EME1",1260398,146956
"HSGT1",5690075,11319
"SPC24",5910349,147841
"IQCH",4610121,64799
"LOC641742",2810324,641742
"HS.126245",6370082,NA
"PNPLA3",160563,80339
"MAGEH1",1980685,28986
"C10ORF54",6620292,64115
"RPS6KB1",1940576,6198
"WDR34",6200195,89891
"GCNT2",6660369,2651
"ADAM19",6900209,8728
"TOMM20",3460121,9804
"LAD1",5820450,3898
"CDK2",4590064,1017
"C17ORF70",4540064,80233
"LOC727753",4220176,727753
"SFRS13A",160386,10772
"FAM98A",2100161,25940
"CASP6",5550709,839
"ZNF417",5290121,147687
"CAND1",240162,55832
"NDST2",110561,8509
"C11ORF57",870154,55216
"SEC31A",5560180,22872
"TMEM97",3420541,27346
"GALK1",3520278,2584
"HS.149495",7100754,NA
"C3ORF15",1010739,89876
"CDK2",2350286,1017
"GRAMD4",6380112,23151
"CD177",2100670,57126
"SSBP3",6480196,23648
"LOC645430",3930440,645430
"TSPAN18",1820279,90139
"LOC648176",2850243,648176
"CDCP1",150463,64866
"RNF145",2260603,153830
"TMEM194A",870767,23306
"PCDH19",7150397,57526
"CNIH3",2030598,149111
"LOC654244",3190070,654244
"KIAA1843",1340181,84540
"NFASC",2640647,23114
"TTTY11",50451,83866
"FBXO2",1850519,26232
"LOC648626",520564,648626
"CRY1",2850059,1407
"ABCB1",4210039,5243
"TM9SF1",6400411,10548
"ACP1",1500152,52
"SP8",670634,221833
"SDHALP1",1300176,255812
"BRSK2",460687,9024
"CPEB1",7510603,64506
"TCL6",620471,27004
"TYSND1",1940288,219743
"BIVM",1090367,54841
"HS.14555",1260014,NA
"LMBR1L",4120332,55716
"MEF2D",3940484,4209
"TOLLIP",6650612,54472
"PREP",6940356,5550
"LOC440820",3420220,440820
"ARMCX4",1470474,158947
"LOC648494",240537,648494
"C16ORF79",60220,283870
"TRIOBP",5570110,11078
"LOC645963",3940671,645963
"SLC22A7",3870020,10864
"WDR33",3400356,55339
"HS.382309",5900687,NA
"MIR635",1400424,693220
"ZNF570",3120465,148268
"HNRNPR",3060035,10236
"NOXO1",4230047,124056
"FLJ20518",60725,647476
"C1ORF66",7610202,51093
"SYT4",3180639,6860
"ANAPC1",7210259,64682
"GSTT2",7570762,2953
"MON1A",4560551,84315
"FBLN1",6040494,2192
"MAP2",6900133,4133
"CKAP5",670500,9793
"TES",2120402,26136
"KIAA1712",1470181,80817
"MSL1",430551,339287
"KLHL2",1070593,11275
"PTPN12",3990136,5782
"HS.105618",4050296,NA
"KIR2DL3",3140242,3804
"SUSD1",7560180,64420
"CD248",2490113,57124
"DSCAM",2480112,1826
"CNOT2",4010279,4848
"FLJ20297",3830630,55627
"HS.540009",360398,NA
"TSR1",7550133,55720
"ZDHHC1",3370093,29800
"SDC3",1990551,9672
"HS.528873",3180338,NA
"HIST1H2BD",290730,3017
"EXOC1",7570603,55763
"GALNS",2850136,2588
"ATG4C",5090291,84938
"LOC643125",2640646,643125
"MIR135B",1990678,442891
"ASPSCR1",3420576,79058
"SETBP1",5310079,26040
"STAG3L3",3440441,442578
"EVI5L",3610148,115704
"C22ORF30",1440619,253143
"COPS8",3180020,10920
"C10ORF27",6840709,219793
"C6ORF48",6280601,50854
"KRTAP10-2",360725,386679
"LOC646330",3180475,646330
"LOC651149",6590446,651149
"ABCB4",1070594,5244
"LOC91561",2490450,91561
"HS.566876",3190392,NA
"LOC100133312",520156,100133312
"LOC647995",1030280,647995
"LOC100130624",7210593,100130624
"SUV420H1",3850343,51111
"IL13RA2",5420386,3598
"MEX3C",6860445,51320
"PTK6",6330608,5753
"LOC284288",4730463,284288
"ADORA2B",2060040,136
"CD209",2640037,30835
"LOC389672",3180131,389672
"C1ORF162",7050719,128346
"TNC",6940102,3371
"GEMIN4",6450300,50628
"HNRNPR",6650762,10236
"LOC642852",3060044,642852
"SFRS2IP",4010445,9169
"MPV17",3520711,4358
"MS4A1",1190519,931
"HS.97558",4280750,NA
"HS.577948",7330093,NA
"LOC647778",2120221,647778
"FAM153B",4780121,202134
"SDHAF2",20156,54949
"HOXA2",4260692,3199
"LOC728576",3940524,728576
"LOC729619",3420382,729619
"C14ORF129",5700301,51527
"UBE1DC1",6580653,79876
"YIPF5",380703,81555
"IP6K3",3290102,117283
"ARMC10",2900372,83787
"NMU",7050220,10874
"FBXO2",4540215,26232
"FLJ20254",1240639,54867
"LOC644193",1230082,644193
"ZDHHC13",5550524,54503
"SCYL3",3180348,57147
"HSD11B1L",5220520,374875
"PCOLCE2",4810445,26577
"HS.121413",580022,NA
"USP16",1340717,10600
"HIPK1",5360092,204851
"FRYL",2970066,285527
"ZNF462",1820646,58499
"LOC91561",2370341,91561
"FAM49B",2630703,51571
"LOC100134357",4390544,100134357
"LPAR4",6550070,2846
"CHRNA3",60333,1136
"IFI35",2510220,3430
"CARTPT",3830598,9607
"LARP7",6450450,51574
"SBK1",3850767,388228
"PRKCB",6840615,5579
"FAM118A",5290382,55007
"LOC651697",6760494,651697
"SNORD58A",2510274,26791
"GADD45B",4920110,4616
"CROCC",610424,9696
"SLC4A8",6200196,9498
"CTSG",1500735,1511
"UBE2DNL",1470703,100131816
"ANKRD38",7610128,163782
"TMEM115",5310379,11070
"HS.121224",6450086,NA
"ATP2A1",3850605,487
"AZI1",4180400,22994
"PRY",5050064,9081
"AVPR2",1510025,554
"LOC100131381",360538,100131381
"C12ORF4",6420551,57102
"GSPT2",7610754,23708
"SUCLA2",5220220,8803
"LOC100129657",580626,100129657
"STARD3",610333,10948
"TMEM175",1090564,84286
"KLK1",650561,3816
"CSF3R",6270114,1441
"HS.545116",6110465,NA
"PSMC3IP",5960504,29893
"ADAMDEC1",2470184,27299
"PYROXD1",2120639,79912
"SLC1A3",4210403,6507
"BAHCC1",2570524,57597
"SLC2A10",6520598,81031
"FAM60A",6940343,58516
"LOC642546",580372,642546
"B4GALT3",1030044,8703
"DLEU7",1940093,220107
"DYNC1H1",3450600,1778
"HTN3",6450091,3347
"GSPT1",830259,2935
"COQ4",3990370,51117
"NCOA6IP",2100279,96764
"DNAJC4",2760458,3338
"PRX",5490215,57716
"FAM44B",3780762,91272
"NOMO2",7210017,283820
"APPBP2",5270333,10513
"LYST",7050711,1130
"SERPINB1",3190112,1992
"DIP2A",6520577,23181
"ATP11C",6040204,286410
"TNPO3",3360241,23534
"C6ORF85",6560328,63027
"JUND",620280,3727
"LOC652671",6840592,652671
"FAU",6770025,2197
"CEP170",3940372,9859
"SLC30A7",3120402,148867
"HELT",2630390,391723
"LOC100133200",2320725,100133200
"TESK2",460427,10420
"MYLK",7160343,4638
"NHP2",130673,55651
"CALML4",1990224,91860
"RBM33",150092,155435
"LOC100134624",6650315,100134624
"FAM158A",4570014,51016
"LOXL3",7200706,84695
"TRAM2",940670,9697
"LOC339766",1300195,339766
"MAT2B",7380673,27430
"EXOSC10",840358,5394
"EIF5A2",7560592,56648
"ENO1",6380441,2023
"RNF219",2510292,79596
"LOC100127888",990113,100127888
"RNF103",6580332,7844
"MREG",70468,55686
"NCCRP1",3840148,342897
"C17ORF69",1070368,147081
"LOC646223",3780114,646223
"HS.447508",110332,NA
"EMR1",2510356,2015
"HS.566008",620475,NA
"LOC100129623",2450523,100129623
"SULT1B1",4780068,27284
"MGC57359",3840037,441272
"CDH24",7320280,64403
"KLF12",3830497,11278
"CLPX",6760050,10845
"C6ORF141",3450632,135398
"LOC646448",5550129,646448
"LOC400652",1340639,400652
"C17ORF49",2570035,124944
"ORMDL1",3170452,94101
"KIAA1618",7400743,57714
"HS.539977",2600725,NA
"ZCCHC9",940338,84240
"LOC729964",3940315,729964
"ZMYND8",4760300,23613
"HS.583250",6040041,NA
"LOC400986",6130458,400986
"FAM159B",2570242,100132916
"WDR36",6650100,134430
"INO80",3890048,54617
"TSPAN32",6770008,10077
"KLF10",3990292,7071
"HS.55246",5960369,NA
"PRKCQ",4640576,5588
"EID1",4220086,23741
"DJ222E13.2",7380408,91695
"LOC100130964",4780035,100130964
"RNF7",460376,9616
"HS.559665",1030367,NA
"ARMCX1",3170113,51309
"TPD52L2",5080577,7165
"SKA2",610082,348235
"MAN2B1",6330068,4125
"HDAC6",130370,10013
"ERC1",3460343,23085
"LOC100134373",3990484,100134373
"PRR15",580278,222171
"NGRN",5340768,51335
"IFT122",1570687,55764
"ALS2CL",4570630,259173
"HS.105636",6350747,NA
"MAN1B1",1780661,11253
"FOXP3",1340167,50943
"GPR177",1570441,79971
"CCNA2",2650608,890
"CARD16",5270725,114769
"PKIG",2120463,11142
"SNORD96A",6510327,619571
"NUCKS1",4880445,64710
"HLA-A",3400438,3105
"LOC653800",5900050,653800
"LOC401387",2370274,401387
"LOC400388",5310326,400388
"PSG4",4210500,5672
"FBXL7",6980056,23194
"HS.298873",3830661,NA
"HS.515946",2190672,NA
"FUSSEL18",5260092,652991
"THUMPD1",1740204,55623
"TCF21",730373,6943
"MRPL21",5550056,219927
"PPAP2B",6220097,8613
"HS.550320",6940414,NA
"TP63",5700152,8626
"DLD",1260195,1738
"G6PC3",380242,92579
"FBXL8",2760093,55336
"TMEM191B",4670091,728229
"ADAM23",110731,8745
"ATP5J",6560180,522
"LOC650898",3440136,650898
"HS.562875",1450088,NA
"LOC646056",7050086,646056
"LOC652383",2850753,652383
"TAS1R2",2320021,80834
"HS.529631",7200286,NA
"POLR1C",1010653,9533
"TIMP2",6980541,7077
"C1ORF192",7000685,257177
"CYP20A1",3360133,57404
"C1ORF24",3370768,116496
"POMC",5080072,5443
"CCR2",5390367,1231
"LOC100131742",6450114,100131742
"MIR1978",770743,100302173
"HS.195391",4670692,NA
"LAG3",2680189,3902
"C4ORF50",7570349,389197
"HS.441213",6380450,NA
"LOC654235",1010220,654235
"LOC646604",2970326,646604
"GMPR2",2490600,51292
"SPTBN1",1770037,6711
"ITM2C",1110669,81618
"LOC442270",5910682,442270
"FAM125B",650619,89853
"LCE2B",830538,26239
"NES",670278,10763
"HS.552263",110315,NA
"TLE6",5690592,79816
"CCDC91",2340594,55297
"METTL2B",1090735,55798
"ZNF641",6650747,121274
"ELAC1",430086,55520
"GUCY1A3",4860681,2982
"KRT126P",2490048,643865
"BPHL",1740487,670
"NR1H2",6180064,7376
"CLTC",4730458,1213
"GSTTP2",6480553,653399
"HS.280924",4250142,NA
"CKS2",6200468,1164
"C2CD3",2470438,26005
"HS.554169",1260685,NA
"HS.582025",3310372,NA
"NUDCD3",4290273,23386
"HS.579530",990719,NA
"MAK16",3060397,84549
"LOC100134265",770133,100134265
"SF3A2",3890202,8175
"PNPLA6",1690446,10908
"ANKRD36",150730,375248
"STIM1",1260524,6786
"LOC644000",6860414,644000
"CD97",6960630,976
"BFAR",610022,51283
"PRAMEF5",5290291,343068
"LOC100133997",5420246,100133997
"RNGTT",2630315,8732
"PDHX",7050706,8050
"POLR3A",7380731,11128
"LOC646686",2100066,646686
"HS.544814",4250300,NA
"CDK5R1",3930594,8851
"HS.572932",1260470,NA
"GPRIN3",6250010,285513
"NME1",3060440,4830
"MSL3L1",1740433,10943
"METRNL",10224,284207
"HPS1",2570131,3257
"TBX22",7550538,50945
"LOC642393",2260402,642393
"HS.573492",2600400,NA
"LOC100128300",6590487,100128300
"LOC729500",6250537,729500
"SLC33A1",4490470,9197
"CCT3",5270717,7203
"MARCH7",7560594,64844
"LOC100131546",1780044,100131546
"CECR5",1340470,27440
"HS.569104",5550458,NA
"LOC100133445",6250088,100133445
"ALDH7A1",4150544,501
"GTPBP3",520035,84705
"ATG4D",730767,84971
"RNU1-5",2970482,26863
"NHP2",4570136,55651
"RTN4RL1",5900672,146760
"B3GAT1",1260017,27087
"CAV1",1070215,857
"LOC400221",3890091,400221
"SLC2A1",4590370,6513
"EPPB9",6040465,27077
"RPS27L",5570678,51065
"TMED7",60037,51014
"HNRNPA1L2",1450326,144983
"RUFY3",7200296,22902
"RPUSD4",2100608,84881
"LOC642377",6220056,642377
"THY1",6480204,7070
"GNA13",6650161,10672
"TMEM60",4480368,85025
"LOC100131308",6980296,100131308
"DTX2",6350600,113878
"LOC728484",6020754,728484
"C3",4860494,718
"LCAP",2760110,643736
