"ProbeId","Log2FoldChange","AdjustedPValue"
3800424,-0.0265800633685354,0.999918641374398
2360376,0.103880684590216,0.694304660373724
1260215,-0.0105304750770276,0.811783926443892
6560162,-0.1421477,0.8099104
10546,-0.138912133329722,0.529633988616907
1690129,0.00230031610229542,0.982044065414956
4250253,-0.0574750679358731,0.999557775842075
6130019,0.0297884701742834,0.764875010583907
4260722,-0.116138538462481,0.532880363249294
2480424,-0.0077584878208814,0.999968670564841
3060154,0.0921404102579402,0.999699300483383
6270131,0.167516624858813,0.658525867907434
4590066,0.0313070085036529,0.999968670564841
5390092,-0.0512622489996541,0.874681176040447
4120390,-0.01762897,0.9197961
6110240,0.110607,0.6786166
5690500,-0.0232076379877899,0.937022526962487
1030465,-0.02650182437461,0.902087955081363
6280369,0.00307433899036536,0.977549976597453
3450719,-0.1113583,0.8667184
4050037,0.144823995051806,0.999557775842075
1400672,-0.008302286,0.9851002
3990148,-0.0423567281061281,0.789695748233723
5560370,0.158474682109169,0.651361000989068
4490500,0.103324782379278,0.839577121807293
4230719,-0.1139467,0.6919413
4060048,-0.101892552055297,0.999918641374398
2490537,-0.106197505643754,0.999918641374398
3890711,-0.0142939544785836,0.985126460753478
5340435,-0.000967158177901162,0.994935653877801
1070400,0.248334354103795,0.327716124344374
4290075,0.0658320173998694,0.7555076660335
2510601,0.08245017,0.6811699
60521,-0.0696211347693838,0.999557775842075
5360338,0.0745979046871259,0.999699300483383
380370,0.219269768797764,0.959451415390707
1090026,-0.314153941099127,0.162773117499934
540390,-0.106273812191652,0.959451415390707
4900561,0.184704509070903,0.959451415390707
7000253,-0.0192295670377511,0.999699300483383
1500575,-0.0698419889861377,0.85831090963102
5910685,0.0169677713818936,0.864079581072491
580204,0.0505487064553858,0.829664568090809
3140035,0.03633586,0.9228436
6400376,-0.0120748223755989,0.982522887029761
6040037,0.167350609717451,0.422272356036886
450280,-0.0555015698410823,0.987632805161251
7000309,-0.000638459958798521,0.995437876157121
840463,0.0124969338305041,0.950997650161199
4900181,0.0153342625307253,0.943105962369502
5550026,0.0212310306614869,0.980314984954299
6350706,-0.0272509239816747,0.999968670564841
5310161,0.162942767509263,0.422927661604485
6900768,-0.002637729,0.9876588
4890671,-0.0144801534190826,0.987632805161251
1440609,0.0179168765643469,0.970306120351846
7380554,-0.00714123372829079,0.983497909090809
4280687,-0.0236407572687769,0.999699300483383
1570035,0.007172874,0.9920058
4290544,0.0836916491679975,0.999699300483383
7160184,-0.0318913787169688,0.938456890552538
3140615,0.008300033,0.9849125
2000424,-0.000252165573905394,0.99987964839079
2630736,0.0192527300356229,0.641256652250029
460367,-0.074907218101643,0.999699300483383
6650408,0.0832581674437733,0.678305923099055
1710474,-0.0248304725990778,0.937544849864808
160204,0.144241000521449,0.999699300483383
2650102,0.0148931813969089,0.929344076778356
580044,0.0166910175887534,0.980210992173894
1940482,0.00379272142879294,0.971139983565017
650619,0.0599069285231462,0.999968670564841
2570300,-0.0337438941280501,0.999699300483383
7210674,0.003435528,0.9932945
4490465,0.055372391517464,0.942959479613398
1170021,-0.0158572279505309,0.999918641374398
6380487,-0.0771229894021612,0.956498865688876
520520,-0.1126326,0.6976856
2100196,0.233532876133578,0.669474285706124
5670167,0.0686559668372029,0.906075488758388
5550520,-0.002301466,0.9983043
3450731,0.01826897,0.9499955
2320754,-0.03517066,0.8919304
7550224,0.0953173294409115,0.826867832141258
360156,0.077501546163683,0.743782917453271
6580450,0.119004027564745,0.749427118623592
780427,-0.078641418858977,0.959451415390707
5910020,-0.0814027881188242,0.762104274423351
1470669,-0.0243223267118324,0.883086857123199
130750,-0.0409310886865857,0.999918641374398
7150554,0.126258816238014,0.930551606878054
5860730,0.104490622078935,0.626797304961246
4230246,-0.0110825941845603,0.999918641374398
3390504,-0.0111776122456693,0.957475750689041
3710176,0.0308861985101183,0.999557775842075
5560553,0.008414445,0.99314
4760241,0.0480297478682923,0.701796866563323
5900187,-0.0448975631883854,0.849952912700312
460035,0.106012077928333,0.999557775842075
2000477,0.0799851371054654,0.892510866973113
3830475,-0.0209853734661039,0.999918641374398
2510100,-0.123466715084168,0.81173318347387
730400,-0.186443496232264,0.371070812932988
2760438,-0.0432424412794745,0.871439429686704
1190017,-0.0167539816778488,0.891084712428967
3130382,0.0779200988383604,0.883783681562056
4860220,-0.04386426,0.7643124
2350692,-0.0454243,0.8859998
2570504,-0.03278809,0.9117969
2630379,0.262283380918204,0.999557775842075
6100154,0.1388983,0.6366648
6980685,-0.154350965622344,0.588220424959439
2120228,0.104929550251316,0.671460664549086
1980600,-0.06148677,0.8751085
6060731,0.196474169158737,0.692593033436217
1570181,0.017811306975136,0.804740159194617
5340370,-0.00658697601314628,0.980164516433018
1030168,-0.008742314,0.990134
6580475,0.00494315909751997,0.996174854901369
3610470,-0.0383003768878396,0.208158149669539
4390647,0.147656014314819,0.999557775842075
