Infected,MuseumNumber,Province,Locality,Family,Species,Diet,Sex,Age,TesticlePosition,Epididymis,MammaeCondition,Vagina
-,FMNH 218143,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Partially descended,Not convoluted,-,-
-,FMNH 218144,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,FMNH 218145,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Lactating,Perforated
-,FMNH 218146,Toliara,MAH,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 32938,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Juvenile,-,-,Small,-
-,FMNH 221394,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221395,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Juvenile,-,-,Small,-
-,FMNH 221396,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Juvenile,-,-,Small,-
-,FMNH 221397,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,FMNH 221398,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Juvenile,Abdominal,Not convoluted,-,-
-,UADBA 32939,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221399,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Juvenile,Abdominal,Not convoluted,-,-
-,FMNH 221400,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Juvenile,Abdominal,Not convoluted,-,-
+,UADBA 32940,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Juvenile,Abdominal,Not convoluted,-,-
-,UADBA 32941,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,UADBA 32942,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Sub-adult,-,-,Small,-
-,UADBA 32943,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,,-
-,UADBA 32944,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,UADBA 32945,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 32946,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32947,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 32948,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32949,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
+,UADBA 32950,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Sub-adult,-,-,Small,-
-,UADBA 32951,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Sub-adult,-,-,Small,-
-,UADBA 32952,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Sub-adult,-,-,Small,-
-,UADBA 32953,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Sub-adult,-,-,Small,-
-,UADBA 32954,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Juvenile,-,-,Small,-
-,UADBA 32955,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32956,Mahajanga,ANJHK1,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221358,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221359,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,FMNH 221360,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,FMNH 221361,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,UADBA 32900,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,UADBA 32901,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,UADBA 32902,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,UADBA 32903,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,UADBA 32904,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32905,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 32906,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,UADBA 32907,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 32908,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,UADBA 32909,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 32910,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,UADBA 32911,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,FMNH 221362,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,FMNH 221363,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,UADBA 32912,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,UADBA 32913,Mahajanga,ANJHB,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,UADBA 32959,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 32960,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 32961,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 32916,Mahajanga,ANJHB,Hipposideridae,Hipposideros commersoni,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 32917,Mahajanga,ANJHB,Rhinonycteridae,Paratriaenops furculus,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221401,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221379,Mahajanga,ANJHB,Molossidae,Otomops madagascariensis,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221380,Mahajanga,ANJHB,Molossidae,Otomops madagascariensis,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221381,Mahajanga,ANJHB,Molossidae,Otomops madagascariensis,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221382,Mahajanga,ANJHB,Molossidae,Otomops madagascariensis,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32923,Mahajanga,ANJHB,Molossidae,Otomops madagascariensis,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32924,Mahajanga,ANJHB,Molossidae,Otomops madagascariensis,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32925,Mahajanga,ANJHB,Molossidae,Otomops madagascariensis,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32926,Mahajanga,ANJHB,Molossidae,Otomops madagascariensis,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32927,Mahajanga,ANJHB,Molossidae,Otomops madagascariensis,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32928,Mahajanga,ANJHB,Molossidae,Otomops madagascariensis,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221383,Mahajanga,ANJHB,Molossidae,Otomops madagascariensis,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221384,Mahajanga,ANJHB,Molossidae,Otomops madagascariensis,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221402,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221403,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221404,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221405,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221406,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221407,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Partially descended,Not convoluted,-,-
-,FMNH 221408,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221409,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221410,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
+,FMNH 221411,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221412,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,UADBA 32962,Mahajanga,ANJHB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,UADBA 32964,Mahajanga,ANJHK2,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,UADBA 32965,Mahajanga,ANJHK2,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Partially descended,Not convoluted,-,-
-,UADBA 32966,Mahajanga,ANJHK2,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221413,Mahajanga,ANJHK2,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221414,Mahajanga,ANJHK2,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221415,Mahajanga,ANJHK2,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221416,Mahajanga,ANJHK2,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221417,Mahajanga,ANJHK2,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
+,FMNH 221418,Mahajanga,ANJHK2,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,-,-
+,FMNH 221419,Mahajanga,ANJHK2,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221364,Mahajanga,ANTNM,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221365,Mahajanga,ANTNM,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Juvenile,-,-,-,-
-,FMNH 221366,Mahajanga,ANTNM,Pteropodidae,Rousettus madagascariensis,Frugivorous,Male,Adult,Scrotal,Convoluted,-,-
-,FMNH 221367,Mahajanga,ANTNM,Pteropodidae,Rousettus madagascariensis,Frugivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 221368,Mahajanga,ANTNM,Pteropodidae,Rousettus madagascariensis,Frugivorous,Male,Adult,Partially descended,Convoluted,-,-
-,FMNH 221369,Mahajanga,ANTNM,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Juvenile,-,-,-,-
-,FMNH 221370,Mahajanga,ANTNM,Pteropodidae,Rousettus madagascariensis,Frugivorous,Male,Adult,Abdominal,Convoluted,-,-
-,FMNH 221371,Mahajanga,ANTNM,Pteropodidae,Rousettus madagascariensis,Frugivorous,Male,Adult,Scrotal,Convoluted,-,-
-,UADBA 32914,Mahajanga,ANTNM,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Juvenile,-,-,Small,-
-,UADBA 32915,Mahajanga,ANTNM,Pteropodidae,Rousettus madagascariensis,Frugivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,FMNH 221372,Mahajanga,ANTNM,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221376,Mahajanga,ANTNM,Rhinonycteridae,Triaenops menamena,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221377,Mahajanga,ANTNM,Rhinonycteridae,Triaenops menamena,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 32918,Mahajanga,ANTNM,Rhinonycteridae,Paratriaenops furculus,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221373,Mahajanga,ANTNM,Rhinonycteridae,Paratriaenops furculus,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221393,Mahajanga,ANTNM,Vespertilionidae,Scotophilus marovaza,Insectivorous,Male,Adult,Partially descended,-,-,-
-,UADBA 32934,Mahajanga,ANTNM,Vespertilionidae,Pipistrellus cf.hesperidus,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32935,Mahajanga,ANTNM,Vespertilionidae,Pipistrellus cf.hesperidus,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32936,Mahajanga,ANTNM,Vespertilionidae,Pipistrellus cf.hesperidus,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32937,Mahajanga,ANTNM,Vespertilionidae,Pipistrellus cf.hesperidus,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221389,Mahajanga,ANTNM,Vespertilionidae,Pipistrellus cf.hesperidus,Insectivorous,Female,Adult,-,-,-,-
-,FMNH 221390,Mahajanga,ANTNM,Vespertilionidae,Pipistrellus cf.hesperidus,Insectivorous,Male,Adult,Scrotal,Convoluted,-,-
-,FMNH 221391,Mahajanga,ANTNM,Vespertilionidae,Pipistrellus cf.hesperidus,Insectivorous,Male,Adult,Scrotal,Convoluted,-,-
-,FMNH 221392,Mahajanga,ANTNM,Vespertilionidae,Pipistrellus cf.hesperidus,Insectivorous,Male,Adult,Scrotal,Convoluted,-,-
-,FMNH 221385,Mahajanga,ANTNM,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221386,Mahajanga,ANTNM,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32929,Mahajanga,ANTNM,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Juvenile,Abdominal,Not convoluted,-,-
-,UADBA 32930,Mahajanga,ANTNM,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Juvenile,Abdominal,Not convoluted,-,-
-,UADBA 32931,Mahajanga,ANTNM,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Juvenile,Abdominal,Not convoluted,-,-
-,UADBA 32932,Mahajanga,ANTNM,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,UADBA 32933,Mahajanga,ANTNM,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Slightly developed,-
+,FMNH 221387,Mahajanga,ANTNM,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221388,Mahajanga,ANTNM,Molossidae,Chaerephon leucogaster,Insectivorous,Female,Adult,-,-,Slightly developed,-
-,FMNH 221375,Mahajanga,BEEN,Rhinonycteridae,Paratriaenops furculus,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221378,Mahajanga,BEEN,Rhinonycteridae,Triaenops menamena,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 32920,Mahajanga,BEEN,Rhinonycteridae,Triaenops menamena,Insectivorous,Female,Adult,-,-,-,-
-,UADBA 32921,Mahajanga,BEEN,Rhinonycteridae,Triaenops menamena,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 221313,Antsiranana,AMBB,Emballonuridae,Paremballonura tiavato,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221314,Antsiranana,AMBB,Emballonuridae,Paremballonura tiavato,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221315,Antsiranana,AMBB,Emballonuridae,Paremballonura tiavato,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 32980,Antsiranana,AMBB,Emballonuridae,Paremballonura tiavato,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221317,Antsiranana,AMBB,Vespertilionidae,Myotis goudoti,Insectivorous,Male,Adult,Scrotal,Convoluted,-,-
-,FMNH 221318,Antsiranana,AMBB,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221319,Antsiranana,AMBB,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221320,Antsiranana,AMBB,Vespertilionidae,Myotis goudoti,Insectivorous,Male,Adult,Scrotal,Convoluted,-,-
-,FMNH 221321,Antsiranana,AMBB,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221322,Antsiranana,AMBB,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221323,Antsiranana,AMBB,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221324,Antsiranana,AMBB,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32990,Antsiranana,AMBB,Vespertilionidae,Myotis goudoti,Insectivorous,Male,Adult,Scrotal,Convoluted,-,-
-,UADBA 32991,Antsiranana,AMBB,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Large,Perforated
+,UADBA 32992,Antsiranana,AMBB,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 221335,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
+,FMNH 221336,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
+,FMNH 221337,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221338,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Juvenile,-,-,Small,-
-,FMNH 221339,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 221340,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221341,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221342,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221343,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 33003,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 33004,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 33005,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 33006,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 33007,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 33008,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 33009,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Juvenile,-,-,Small,-
+,UADBA 33010,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 33011,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
+,UADBA 33012,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
+,UADBA 33013,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,-,Not convoluted,-,-
-,UADBA 33014,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 33015,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,-,Convoluted,-,-
+,UADBA 33016,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
+,UADBA 33017,Antsiranana,AMBB,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,-,Not convoluted,-,-
-,UADBA 32967,Antsiranana,CGS,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Sub-adult,-,-,Small,-
-,UADBA 32968,Antsiranana,CGS,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,UADBA 32969,Antsiranana,CGS,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Sub-adult,-,-,Small,-
-,UADBA 32970,Antsiranana,CGS,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32971,Antsiranana,CGS,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Adult,-,-,Small,-
-,UADBA 32972,Antsiranana,CGS,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Sub-adult,-,-,-,-
-,UADBA 32973,Antsiranana,CGS,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Sub-adult,-,-,Small,-
-,UADBA 32974,Antsiranana,CGS,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Sub-adult,-,-,Small,-
-,FMNH 221300,Antsiranana,CGS,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Sub-adult,-,-,Small,-
-,FMNH 221301,Antsiranana,CGS,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Sub-adult,-,-,Small,-
-,FMNH 221302,Antsiranana,CGS,Pteropodidae,Rousettus madagascariensis,Frugivorous,Male,Adult,Abdominal,Convoluted,-,-
-,FMNH 221303,Antsiranana,CGS,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Sub-adult,-,-,Small,-
-,FMNH 221304,Antsiranana,CGS,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Juvenile,-,-,Small,-
-,FMNH 221305,Antsiranana,CGS,Pteropodidae,Rousettus madagascariensis,Frugivorous,Male,Adult,Abdominal,Convoluted,-,-
-,FMNH 221306,Antsiranana,CGS,Pteropodidae,Rousettus madagascariensis,Frugivorous,Female,Juvenile,-,-,Small,-
-,UADBA 33019,Antsiranana,ANDRF,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33020,Antsiranana,ANDRF,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 33021,Antsiranana,ANDRF,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 33022,Antsiranana,ANDRF,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,-,-,-,-
+,UADBA 33023,Antsiranana,ANDRF,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,-,-,-,-
-,UADBA 33024,Antsiranana,ANDRF,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 33025,Antsiranana,ANDRF,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,-,Partially convoluted,-,-
-,UADBA 33026,Antsiranana,ANDRF,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,-,Not convoluted,-,-
+,FMNH 221344,Antsiranana,ANDRF,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,-,Partially convoluted,-,-
-,FMNH 221345,Antsiranana,ANDRF,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,-,Not convoluted,-,-
+,FMNH 221346,Antsiranana,ANDRF,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,-,Not convoluted,-,-
+,FMNH 221347,Antsiranana,ANDRF,Miniopteridae,Miniopterus griveaudi,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 221348,Antsiranana,ANDRF,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,-,Not convoluted,-,-
-,FMNH 221349,Antsiranana,ANDRF,Miniopteridae,Miniopterus griveaudi,Insectivorous,Male,Adult,-,Not convoluted,-,-
-,UADBA 32993,Antsiranana,ANDRF,Vespertilionidae,Myotis goudoti,Insectivorous,Male,Adult,-,-,-,-
-,UADBA 32981,Antsiranana,ANDRF2,Emballonuridae,Emballonura tiavato,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 32982,Antsiranana,ANDRF2,Emballonuridae,Emballonura tiavato,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
+,UADBA 32994,Antsiranana,ANDRF2,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32995,Antsiranana,ANDRF2,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 32996,Antsiranana,ANDRF2,Vespertilionidae,Myotis goudoti,Insectivorous,Female,Adult,-,-,Large,Perforated
