Infected,MuseumNumber,Province,Locality,Family,Species,Diet,Sex,Age,TesticlePosition,Epididymis,MammaeCondition,Vagina
-,UADBA 50332,Toliara,ANDRO,Rhinonycteridae,Triaenops menamena,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 50333,Toliara,ANDRO,Rhinonycteridae,Triaenops menamena,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 50334,Toliara,ANDRO,Rhinonycteridae,Triaenops menamena,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 50335,Toliara,ANDRO,Rhinonycteridae,Triaenops menamena,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50211,Toliara,ANDRO,Rhinonycteridae,Paratriaenops furculus,Insectivorous,Female,Adult,-,-,Large,Perforated
-,UADBA 50192,Toliara,ITA,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 50193,Toliara,ITA,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 50194,Toliara,ITA,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50195,Toliara,ITA,Molossidae,Mormopterus jugularis,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 50196,Toliara,ITA,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Scrotal,Partially convoluted,-,-
-,FMNH 218060,Toliara,VINT,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
+,UADBA 50151,Toliara,VINT,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50140,Toliara,VINT,Miniopteridae,Miniopterus griffithsi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 218061,Toliara,VINT,Miniopteridae,Miniopterus griffithsi,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
+,UADBA 50336,Toliara,VINT,Rhinonycteridae,Triaenops menamena,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50197,Toliara,VINT,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 50198,Toliara,VINT,Molossidae,Mormopterus jugularis,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,FMNH 218062,Toliara,VINT,Miniopteridae,Miniopterus griffithsi,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,FMNH 218063,Toliara,VINT,Miniopteridae,Miniopterus griffithsi,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
+,UADBA 50337,Toliara,VINT,Rhinonycteridae,Triaenops menamena,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 50338,Toliara,VINT,Rhinonycteridae,Triaenops menamena,Insectivorous,Female,Adult,-,-,Small,-
+,FMNH 218064,Toliara,VINT,Rhinonycteridae,Triaenops menamena,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 218065,Toliara,VINT,Rhinonycteridae,Triaenops menamena,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 218066,Toliara,VINT,Rhinonycteridae,Triaenops menamena,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
+,FMNH 218067,Toliara,VINT,Rhinonycteridae,Triaenops menamena,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
+,FMNH 218068,Toliara,VINT,Rhinonycteridae,Triaenops menamena,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50141,Toliara,VINT,Miniopteridae,Miniopterus griffithsi,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 50142,Toliara,VINT,Miniopteridae,Miniopterus griffithsi,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
+,FMNH 218070,Toliara,VINT,Rhinonycteridae,Triaenops menamena,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 218071,Toliara,VINT,Rhinonycteridae,Triaenops menamena,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
+,FMNH 218072,Toliara,VINT,Rhinonycteridae,Triaenops menamena,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 50215,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 50216,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 50217,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50218,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50219,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 50220,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50221,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,FMNH 218073,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,FMNH 218074,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50222,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50223,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 218075,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 218076,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 218077,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 218078,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 218079,Toliara,TSP,Miniopteridae,Miniopterus mahafaliensis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50199,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50200,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50201,Toliara,BET,Molossidae,Mormopterus jugularis,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
